item,annual,unit,note,source
숙박비,286826,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
쇼핑비,193492,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
식음료비,145930,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
대중교통비,41974,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
차량임대비_렌터카,42131,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
관광체험관련지출,24528,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
레저스포츠관련지출,4991,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
국제항공_선박료,533468,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
국내항공_선박료,47477,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
기타비용,1820,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
