item,annual,unit,note,source
숙박비,213171,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
쇼핑비,338398,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
식음료비,179017,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
대중교통비,46894,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
차량임대비_렌터카,38619,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
관광체험관련지출,43823,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
레저스포츠관련지출,19665,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
국제항공_선박료,359399,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
국내항공_선박료,20817,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
기타비용,20376,원,,"제주특별자치도·제주관광공사(2026), 『2025년 제주특별자치도 방문관광객 실태조사』 분석편 (통계청 승인 제218007호, 조사기간 2025.1~12)"
