sector_code,sector_name,multiplier_production_in_region,multiplier_production_out_region,multiplier_value_added_in_region,multiplier_value_added_out_region,multiplier_employment_in_region,multiplier_employment_out_region,unit_production,unit_value_added,unit_employment,region,table_year,classification
01,작물,1.1197543376931922,0.3090778673901229,0.8006874930435574,0.12698213485579002,38.64954027549148,1.7442798956751275,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
02,축산물,1.416299091850877,1.0952320396760107,0.4363353972535425,0.39589740687257075,7.637336017632146,6.480698341552596,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
03,임산물,1.2007999984007365,0.3657465299365885,0.7836362776508404,0.15186267920691832,4.677425238439015,1.6868346727599954,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
04,수산물,1.171429851965705,0.753173648429154,0.47501157719933534,0.27919382077636995,7.889378529768649,2.850612656673311,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
05,농림어업 서비스,1.1636191457080292,0.5385160711300239,0.6834261498845002,0.22392673325031198,11.716768297217934,2.5498639445470968,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
06,"석탄, 원유 및 천연가스",1.4628393522951728,1.3294349294765802,0.25592214926275203,0.5279833808228444,15.12366119323187,5.726940112265494,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
07,금속 및 비금속 광물,1.3084722755532603,0.7269890920640987,0.5942005923517296,0.2837940017347471,5.885844016718696,3.4854530917174174,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
08,식료품,1.3740849239094128,1.0127273460488642,0.3697730968452407,0.39523548160495464,7.604329021417468,6.845920099580211,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
09,음료품,1.177691586877586,0.7332283278729641,0.5739816167823721,0.28255137985089873,2.7321699486567512,3.531251446756598,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
10,담배,1.0,0.0,0.0,0.0,0.0,0.0,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
11,섬유 및 의복,1.157181964602853,0.8541071926712089,0.2887833973808667,0.3237081551494722,4.195444947623386,3.994751002825476,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
12,가죽제품 ,1.177616379396578,0.7533427121785521,0.19589993204672146,0.29624717228293485,6.892608005274043,3.786753036297088,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
13,목재 및 목제품 ,1.2956313229754224,0.8515370666057878,0.3842067506941986,0.3419891530265757,5.320020972111236,3.775720048379436,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
14,펄프 및 종이제품,1.1653330035156089,1.0740260312938623,0.3551371104636912,0.4028471953647778,5.006605677159977,4.5699434281589015,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
15,인쇄 및 기록매체 복제,1.1889015984137443,1.011373236953785,0.4526470023357297,0.38747413118990043,7.2873379824881725,4.598163194968346,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
16,석탄 및 석유제품,1.2675945656285033,0.8857082665428468,0.20206399911518008,0.3178932731098853,2.932762167087986,3.1169909634676514,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
17,기초화학물질,1.1624056002694736,0.5195854087346514,0.40414403880169475,0.1777584459574864,2.6304391070731064,1.775857981916665,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
18,합성수지 및 합성고무,1.0643446549021298,0.7344467621522213,0.3217794496245113,0.22987139180754113,2.6248561613533554,1.9917320328154298,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
19,화학섬유,1.0,0.0,0.0,0.0,0.0,0.0,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
20,의약품,1.1421626245229413,0.4763217433535878,0.6304725428154837,0.1976137772988149,3.2007832264951923,2.4016405380319825,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
21,비료 및 농약,1.1712266677179997,0.5313859164260804,0.47005397439710533,0.21114636607105236,3.3978568315677755,2.3488087080680806,원/원,원/원,명/10억원,강원,2020,중분류(83부문)
