sector_code,sector_name,multiplier_production_in_region,multiplier_production_out_region,multiplier_value_added_in_region,multiplier_value_added_out_region,multiplier_employment_in_region,multiplier_employment_out_region,unit_production,unit_value_added,unit_employment,region,table_year,classification
01,작물,1.1876685897783927,0.3316782262342113,0.7522836544398128,0.13840887796185175,39.3500756932309,1.8973757144417505,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
02,축산물,1.6253969949282185,0.8311301488575416,0.49107431419453895,0.3117275001585995,8.560801080056104,5.22284426860517,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
03,임산물,1.2119486366958205,0.3119223679188885,0.7973531717097546,0.1371026556049445,8.125933929519189,1.469661200988563,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
04,수산물,1.3681214095282443,0.6108896666600327,0.4990533679918949,0.23151357881632417,10.211002187831806,2.5975223611605323,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
05,농림어업 서비스,1.404015932174123,0.730994425941017,0.5424716091224354,0.3091125920649125,12.252214252516294,3.6724405679791676,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
06,"석탄, 원유 및 천연가스",1.0,0.0,0.0,0.0,0.0,0.0,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
07,금속 및 비금속 광물,1.4146046763582787,0.5987766521546003,0.6346590102904929,0.23625597410719568,4.736956759609244,2.6429332690837866,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
08,식료품,1.5366393791861492,0.8017100071715477,0.41406025077637226,0.3143983371016214,6.675743570318365,5.729319306349718,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
09,음료품,1.462807708512126,0.621755744426197,0.5224897363881882,0.24797135207509957,3.3768028153939253,3.299330951261788,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
10,담배,1.0700457053485797,0.09998557983993939,0.8615450966447077,0.044395698208849255,1.7871633396121402,0.9916140979659285,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
11,섬유 및 의복,1.3955835443088516,0.6249638781396434,0.42413940452697535,0.23232139728677353,5.449805767770759,2.6273123813077524,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
12,가죽제품 ,1.3451446735277064,0.4779010630862537,0.3218747556910067,0.19153012195973834,5.6040706779240095,2.457985014518493,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
13,목재 및 목제품 ,1.465730963795206,0.7034266832108291,0.44169792631017657,0.27756392363124993,5.931899753875212,3.038511521842495,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
14,펄프 및 종이제품,1.531311057449585,0.7062081078854929,0.48698537206157017,0.27115316500157954,5.0623726556338395,3.0434907963915796,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
15,인쇄 및 기록매체 복제,1.5359440537523545,0.6636336795147664,0.5723895065838082,0.2615716069936863,8.533671600604915,3.0349783553833287,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
16,석탄 및 석유제품,1.165060375938142,0.38904307597384014,0.3156962607959205,0.12848068316762062,1.5306100465084427,1.0937949978628891,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
17,기초화학물질,1.3146956346354828,0.5161277335948933,0.4663344757826081,0.18337302546818623,2.324657429562149,1.6773505962672846,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
18,합성수지 및 합성고무,1.1755519029503736,0.5498314904921964,0.4172167125784296,0.17265895534678677,2.2583333398290315,1.4399118034128762,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
19,화학섬유,1.3445373980754631,0.657127980498013,0.32793530638578944,0.22078128785928736,5.279634400683554,2.0399564125307563,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
20,의약품,1.2893022583777858,0.4149411125375293,0.6062842883320563,0.1736760537605163,3.2066484111656095,2.2009783024382195,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
21,비료 및 농약,1.3226225421586268,0.5339040606096062,0.36428605760675736,0.2111017387622237,3.3087327019888786,2.3020289739583335,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
22,기타 화학제품,1.30327699970392,0.5403763157980301,0.4524547818407392,0.19701926525975855,3.3764083839765537,2.0985085937308505,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
23,플라스틱제품,1.3455803183661088,0.7165360184608114,0.47379583955818627,0.245654682623889,4.442589431349719,2.2992920072292877,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
24,고무제품,1.3694767160696861,0.6409514503631859,0.5095320637556814,0.23926824510334588,4.909332439331132,2.334630814608974,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
25,유리 및 유리제품,1.364001997967226,0.4388990108995101,0.5125774179203213,0.17810319610375447,4.566352008390971,1.927069787251356,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
26,기타 비금속광물제품,1.5183483665745097,0.9005310404119535,0.4552737050604432,0.34299934404631716,5.604100475619071,3.8861668113534735,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
27,철강1차제품,1.4028503890179025,0.8331969162211565,0.35858138396428046,0.2877606064472737,3.165558816546226,2.84632828882693,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
28,비철금속괴 및 1차제품,1.274493409976864,0.496607427879842,0.2735179707364915,0.16067945278133022,2.3608925505778684,1.7133557515319504,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
29,금속 주물,1.4987354813908016,0.6915109370126864,0.5258985175569038,0.24619389514308432,5.1941117283696725,2.671483184485755,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
30,금속가공제품,1.4488008892751951,0.7283407956771719,0.5161592569133124,0.25886696363277417,5.175781219790526,2.6650443036698936,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
31,반도체,1.2253533168717885,0.2847796278457706,0.5592879325450955,0.1139469566817678,1.4967983344508393,1.059520464420926,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
32,전자표시장치,1.2537547640384636,0.41329337783117337,0.4221957180196034,0.1718179447915097,2.437944509342844,1.4261552560814845,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
33,기타 전자부품,1.3526988475661836,0.5228755574693074,0.4716886777128571,0.1976930196100119,4.806749485098523,1.9090379953609125,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
34,컴퓨터 및 주변기기,1.3532507237949079,0.5169036588293621,0.4201355582841434,0.21174154464181572,2.6788109835783565,1.805986606222708,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
35,"통신, 방송 및 영상, 음향기기",1.198464248126457,0.3225620839280512,0.3223828311688402,0.13688277837913992,1.871858745412745,1.3910570469332246,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
36,정밀기기,1.3605545273673723,0.5030994529124058,0.500334102282542,0.20407540843261274,4.83223799440228,2.0750641706341506,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
37,전기장비,1.419068353970025,0.628526461665937,0.4421381986890985,0.22547423462705246,3.9943612056248226,2.2680002581918703,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
38,일반목적용 기계,1.4680271349674998,0.717060331991852,0.4705241559520476,0.26548848354512494,4.487842962171452,2.7906281803699073,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
39,특수목적용 기계,1.4070293817573614,0.5572808636480517,0.5044834228117742,0.2116961977021704,4.8249313715554765,2.18658793981838,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
40,자동차,1.4572015910328717,1.0050945907382054,0.38564228563473946,0.3221751342607394,3.3077712267535073,3.1905877900216213,원/원,원/원,명/10억원,경기,2020,중분류(83부문)
