sector_code,sector_name,multiplier_production_in_region,multiplier_production_out_region,multiplier_value_added_in_region,multiplier_value_added_out_region,multiplier_employment_in_region,multiplier_employment_out_region,unit_production,unit_value_added,unit_employment,region,table_year,classification
01,작물,1.1391625928016473,0.3934203275887047,0.743917269282204,0.1579791153413158,37.24465651275214,2.056057022438921,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
02,축산물,1.6664753448219132,0.8858496239244646,0.5000602520574785,0.3411637042714609,9.19354481293776,5.374029144733189,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
03,임산물,1.145701632537104,0.29155957814307687,0.8279715193998316,0.1211151244467249,5.18603131194129,1.4569461914321318,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
04,수산물,1.3489646453447417,0.8016210109283053,0.4456338924716997,0.3041173358084823,8.972832266568265,3.598925930713431,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
05,농림어업 서비스,1.1815055771018734,0.46840561068068953,0.7239377495847723,0.19489802406340984,11.864638947511576,2.2234727283713234,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
06,"석탄, 원유 및 천연가스",1.0,0.0,0.0,0.0,0.0,0.0,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
07,금속 및 비금속 광물,1.4074087243023254,0.7960005962123966,0.535741893824526,0.3198644568408968,6.04406326277686,3.9103376444184432,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
08,식료품,1.5519631593443515,0.9160537795248247,0.39725661527501654,0.35448108015187374,8.499673986141543,5.660033092857898,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
09,음료품,1.2969253574582618,0.8310018499415712,0.4828775679022458,0.3216148833935353,3.5781060561096942,4.307826019540908,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
10,담배,1.0560904439886833,0.16812178059318272,0.8495508274191418,0.07062046679808476,1.3586511956643332,0.8745692515289822,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
11,섬유 및 의복,1.20174960211813,0.8717716756306069,0.36830842334360325,0.31147110720931837,5.291794527405831,3.638206247488047,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
12,가죽제품 ,1.2196389039770317,0.7281911624549693,0.2776359552506144,0.27176278681383265,5.298643763968501,3.6333182475570975,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
13,목재 및 목제품 ,1.3232244308588965,0.6877381595378573,0.4044433437725893,0.275199572407536,5.844203207879804,3.3002824426626525,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
14,펄프 및 종이제품,1.273002873970794,0.8789495213708141,0.39019315781048325,0.33249978506661215,4.084020042032957,3.8733670614874303,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
15,인쇄 및 기록매체 복제,1.3016168469586196,0.8867139814262315,0.4902601595902682,0.34327975720762965,8.424201345526239,4.205506617287522,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
16,석탄 및 석유제품,1.122443956604587,0.636347906663854,0.23854796421650648,0.20819042983033031,1.6279989930336094,1.7651532230215077,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
17,기초화학물질,1.255318395409275,0.670877357306157,0.4028274757533673,0.23398371667328122,2.5716462978918804,2.2765374103055622,원/원,원/원,명/10억원,경남,2020,중분류(83부문)
