sector_code,sector_name,multiplier_production_in_region,multiplier_production_out_region,multiplier_value_added_in_region,multiplier_value_added_out_region,multiplier_employment_in_region,multiplier_employment_out_region,unit_production,unit_value_added,unit_employment,region,table_year,classification
01,작물,1.098585203454963,0.498349902285091,0.6836254744524768,0.2052673260196859,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
02,축산물,1.1490118240273164,1.2810378663210855,0.3755885201117721,0.45819604780591544,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
03,임산물,1.0987874066715129,0.389147244689213,0.774755436044438,0.1664349204781309,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
04,수산물,1.3067294212821692,1.3151041092298976,0.22285796165017277,0.49610279474778596,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
05,농림어업 서비스,1.1990300503598823,0.9276739275988988,0.4636233342756517,0.3898294075082249,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
06,"석탄, 원유 및 천연가스",1.0,0.0,0.0,0.0,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
07,금속 및 비금속 광물,1.4346596935265918,1.346329155546732,0.2513205335235846,0.539637249756741,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
08,식료품,1.1813766582747574,1.4477430803292635,0.2650307951794834,0.5222130081466365,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
09,음료품,1.2223583504810778,0.8980163974969653,0.48671370437832384,0.34630545723582373,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
10,담배,1.0385269750931185,0.17689274466575156,0.8585269786217823,0.07712273935560443,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
11,섬유 및 의복,1.1329884793478262,0.9288024383745179,0.30535851943022296,0.3359298303480658,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
12,가죽제품 ,1.1789381813627327,0.7376779727923553,0.19520765185665392,0.2768173031671497,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
13,목재 및 목제품 ,1.1795245272107937,0.8451533902508743,0.3546903091156251,0.335757922450634,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
14,펄프 및 종이제품,1.2018754516471748,1.2178697276916302,0.3417560116358473,0.45193866492432383,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
15,인쇄 및 기록매체 복제,1.2293635360771842,0.9873767861621938,0.462680169463059,0.3793014425581731,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
16,석탄 및 석유제품,1.2631323323830856,1.0716468486785842,0.29180113500410815,0.43035087423109436,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
17,기초화학물질,1.1483638267673464,0.6999808656562816,0.38157096391105433,0.2553688675495392,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
18,합성수지 및 합성고무,1.046242707969684,0.8284372347586269,0.24466691844343777,0.2672076598460359,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
19,화학섬유,1.1049168858848,0.6519359993884319,0.4997119528887556,0.2200077480268502,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
20,의약품,1.166654756163036,0.5829707608917709,0.5522495652202788,0.24389413477899946,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
21,비료 및 농약,1.138674608632872,0.617720812416833,0.48401712271219854,0.24306243647543535,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
22,기타 화학제품,1.1471965802143855,0.7613964953939214,0.44154306853579656,0.27979727323198417,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
23,플라스틱제품,1.1768188333912522,1.0497231760797339,0.3616211105366345,0.37236026905684805,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
24,고무제품,1.186560737258243,0.6522100823326371,0.38753055216785565,0.2629677414793143,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
25,유리 및 유리제품,1.1755856443060833,0.9291031830505927,0.3959459290004856,0.3759328436328269,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
26,기타 비금속광물제품,1.2560718840665395,1.1905039189595237,0.35616091685004225,0.4603742176815455,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
27,철강1차제품,1.2010413017424322,1.227583611420118,0.23080300428323652,0.4271898427125642,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
28,비철금속괴 및 1차제품,1.178475032513098,0.604246335572604,0.24631792125260496,0.20840132516655405,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
29,금속 주물,1.2244030123762975,0.9204648818033734,0.462070851090428,0.3401968774905928,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
30,금속가공제품,1.2469715271672155,1.1208087577199497,0.3704752415898127,0.40813746686526853,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
31,반도체,1.1051456065288634,0.5121859241325435,0.27803979182190164,0.21751347372228869,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
32,전자표시장치,1.1857324262595352,1.0694139170092447,0.22771110034933517,0.4410377721974704,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
33,기타 전자부품,1.2638142112051765,0.8649807488774375,0.3474368603885055,0.3349661726598905,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
34,컴퓨터 및 주변기기,1.1311497839516271,0.5342508862047779,0.29623727731778526,0.22469126882141355,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
35,"통신, 방송 및 영상, 음향기기",1.107792832480995,0.3236115488351401,0.3484328512134562,0.13445464661804812,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
36,정밀기기,1.1692889203762744,0.7317455807059416,0.41379306516552333,0.3071691474521833,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
37,전기장비,1.2615744393369732,0.9582678066524266,0.34323686065269865,0.3596217934427476,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
38,일반목적용 기계,1.3071704053839117,0.9424298671497253,0.368860856084247,0.3524948987386659,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
39,특수목적용 기계,1.2912280065085544,1.0488314728957415,0.4033672913249204,0.407877782658644,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
40,자동차,1.3875519295647858,1.330756637604757,0.2803587400793885,0.4438875257998525,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
41,선박,1.2604414828347037,1.1253758825204703,0.3363649112405218,0.4436713615615586,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
42,기타 운송장비,1.1294604396033234,0.8063778717253696,0.2980116475830168,0.31442789509309443,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
43,기타 제조업제품,1.2197802263181183,0.9925498972318436,0.40548226485018285,0.3803645623584874,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
44,제조임가공 및 산업용 장비 수리,1.17288027019399,0.6882693256808881,0.6045852650931048,0.27102766719311755,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
45,전력 및 신재생에너지,1.169994802616261,0.341939520131906,0.46912531834764004,0.1248950430978708,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
46,"가스, 증기 및 온수",1.0542714766407086,0.16018771837161228,0.28641282803339774,0.06550026429360978,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
47,수도,1.0805030777666305,0.5758999183249744,0.6754863722033638,0.21470005976098316,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
48,폐수처리,1.3322202487214896,1.1367540618677845,0.4019757617048707,0.4228948273337839,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
49,폐기물처리 및 자원재활용서비스,1.239340184645069,0.6115413507002061,0.6442831667387837,0.263500639954522,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
50,건물건설 및 건축보수,1.2369295566043026,0.7876304332492303,0.5620037758938693,0.28993462770846135,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
51,토목건설,1.1802092658895271,0.6913805496651608,0.6268069479374514,0.24929593832321917,,,원/원,원/원,명/10억원,광주,2020,중분류(83부문)
