sector_code,sector_name,multiplier_production_in_region,multiplier_production_out_region,multiplier_value_added_in_region,multiplier_value_added_out_region,multiplier_employment_in_region,multiplier_employment_out_region,unit_production,unit_value_added,unit_employment,region,table_year,classification
01,작물,1.0951201727468538,0.4561920213355173,0.7039093074587248,0.18632440380845983,,,원/원,원/원,명/10억원,대구,2020,중분류(83부문)
02,축산물,1.4334757429148868,1.16619937778506,0.39898082515987987,0.43035329079048146,,,원/원,원/원,명/10억원,대구,2020,중분류(83부문)
03,임산물,1.1040883716086518,0.48229639288114323,0.718418257993487,0.2127550729734785,,,원/원,원/원,명/10억원,대구,2020,중분류(83부문)
04,수산물,1.2329280798327775,0.9150138605922065,0.20947623336136592,0.3421510296865118,,,원/원,원/원,명/10억원,대구,2020,중분류(83부문)
05,농림어업 서비스,1.2218435651899924,0.8991729741106997,0.474916613771058,0.3776971153754064,,,원/원,원/원,명/10억원,대구,2020,중분류(83부문)
06,"석탄, 원유 및 천연가스",1.0,0.0,0.0,0.0,,,원/원,원/원,명/10억원,대구,2020,중분류(83부문)
07,금속 및 비금속 광물,1.2909644774491857,0.738331982891494,0.5804710403457337,0.29390651858165107,,,원/원,원/원,명/10억원,대구,2020,중분류(83부문)
08,식료품,1.2406279807567808,1.3114511236244242,0.27272115022842375,0.49418194044020886,,,원/원,원/원,명/10억원,대구,2020,중분류(83부문)
09,음료품,1.2017885372074766,0.8021799576034485,0.48884973881396937,0.3108521203085886,,,원/원,원/원,명/10억원,대구,2020,중분류(83부문)
10,담배,1.0,0.0,0.0,0.0,,,원/원,원/원,명/10억원,대구,2020,중분류(83부문)
11,섬유 및 의복,1.305359718640005,0.769685712027012,0.39619835860955765,0.2957002919451891,,,원/원,원/원,명/10억원,대구,2020,중분류(83부문)
12,가죽제품 ,1.235818879660626,0.659611317640983,0.2592510365860391,0.24845067866622017,,,원/원,원/원,명/10억원,대구,2020,중분류(83부문)
