sector_code,sector_name,multiplier_production_in_region,multiplier_production_out_region,multiplier_value_added_in_region,multiplier_value_added_out_region,multiplier_employment_in_region,multiplier_employment_out_region,unit_production,unit_value_added,unit_employment,region,table_year,classification
01,작물,1.181470763700169,0.3865347633450691,0.7280340684167022,0.16054192802394662,37.720643038191064,2.0829773616462006,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
02,축산물,1.4653589299462755,1.1035461870072816,0.4303134599105927,0.403119164062762,8.039317845093537,6.657459550683901,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
03,임산물,1.157067924682654,0.32283865991443683,0.8071971376856066,0.13534525778063777,2.8865552763779188,1.781079857329876,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
04,수산물,1.2797232883789968,0.7216779178465313,0.5273282265665424,0.27788143088111195,10.459366723728557,3.5200389367481772,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
05,농림어업 서비스,1.238916634919568,0.6694016335905801,0.5446296048861948,0.2815215043482324,10.404908002748094,3.2245730626877354,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
06,"석탄, 원유 및 천연가스",1.496095443829449,1.3367011697793652,0.2498082831643371,0.5392847593154559,10.498558589473884,5.906049641320553,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
07,금속 및 비금속 광물,1.253626898518668,0.5870666969437659,0.6631296348957679,0.2323271772359623,4.58944199665813,2.7327699229885614,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
08,식료품,1.6111369707379921,0.8427200992747867,0.4255424763132028,0.3360217465232534,10.837834625947048,5.0776008549552305,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
09,음료품,1.2096141798041251,0.7353477962097039,0.5426706382716616,0.2947161695064242,3.938244371868934,3.677836286100601,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
10,담배,1.0,0.0,0.0,0.0,0.0,0.0,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
11,섬유 및 의복,1.238198484269933,0.874429303761991,0.36743302797120736,0.3245978301029192,4.845793827588368,3.8000324978396005,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
12,가죽제품 ,1.200427363124146,0.717352150111267,0.1948095864372734,0.2792615834264425,4.2033065785827946,3.5638580453617106,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
13,목재 및 목제품 ,1.2850756548588023,0.8335650286313516,0.385130794600847,0.3275559200043128,4.9789692696026835,3.8643424607896106,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
14,펄프 및 종이제품,1.2409294545258283,1.0168468960988906,0.3821801688431776,0.3838867296965781,3.656653277980828,4.393861224698789,원/원,원/원,명/10억원,전남,2020,중분류(83부문)
