sector_code,sector_name,multiplier_production_in_region,multiplier_production_out_region,multiplier_value_added_in_region,multiplier_value_added_out_region,multiplier_employment_in_region,multiplier_employment_out_region,unit_production,unit_value_added,unit_employment,region,table_year,classification
01,작물,1.1410325137853952,0.4005905607195319,0.7423330311586729,0.16204496566704962,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
02,축산물,1.7121229814796879,0.907448737614313,0.4700352937295148,0.36089332131682017,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
03,임산물,1.1536640337809025,0.3757733156205765,0.7834470878151302,0.15489555025588198,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
04,수산물,1.25741058799493,0.7895222965162609,0.4591094917122523,0.30439149124129855,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
05,농림어업 서비스,1.2300388366952373,0.7566356880615848,0.5553038921075466,0.31812116438061955,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
06,"석탄, 원유 및 천연가스",1.0,0.0,0.0,0.0,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
07,금속 및 비금속 광물,1.2763707990044653,0.6773542437841267,0.6173973480444845,0.27022406721225745,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
08,식료품,1.5523018011773364,0.8606056679704475,0.3935325318352426,0.35113778326646816,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
09,음료품,1.267276578064123,0.6287980345090749,0.5618662742090703,0.2516212657889687,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
10,담배,1.0,0.0,0.0,0.0,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
11,섬유 및 의복,1.2071166699213762,0.8100617871668128,0.3239948232857818,0.30507405281336497,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
12,가죽제품 ,1.1589776282768418,0.6313350829044251,0.22987978955739324,0.24625628842254993,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
13,목재 및 목제품 ,1.2729353118707831,0.8191004022113699,0.35759557430650657,0.3159512321594904,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
14,펄프 및 종이제품,1.2888359361984183,0.8232989667900428,0.4101464209459468,0.3173960386793936,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
15,인쇄 및 기록매체 복제,1.2552661804739496,0.9600871512753215,0.47047740983009007,0.3723348496605063,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
16,석탄 및 석유제품,1.2038889656962861,0.675862990899057,0.22910108772965015,0.24967596046598706,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
17,기초화학물질,1.2352173625325964,0.6221488848028165,0.41092490270440196,0.21699756935129533,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
18,합성수지 및 합성고무,1.1516545111840422,0.7226555756826678,0.3511075832669099,0.23275447987678194,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
19,화학섬유,1.2151025364142936,0.9105107779494113,0.26275945219815405,0.30845189972764936,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
20,의약품,1.1713643025804787,0.5508895886371763,0.565717640198068,0.2307023167319998,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
21,비료 및 농약,1.2196524587400595,0.6588602584432894,0.34669425080661115,0.2625323392858692,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
22,기타 화학제품,1.1708106502970261,0.6124517176662658,0.41099596525066884,0.22062169154755784,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
23,플라스틱제품,1.2114054657853492,0.9866870528311316,0.3439642067329402,0.3454706387748669,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
24,고무제품,1.2337068005952956,0.9567293135986112,0.39408788056441024,0.353031963642076,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
25,유리 및 유리제품,1.2595206016830203,0.6696067166869006,0.49920711073702856,0.2721002843404034,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
26,기타 비금속광물제품,1.3784130257613998,0.8951889163208282,0.45715517132137196,0.34385050366602754,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
27,철강1차제품,1.254647121524822,0.936469550886768,0.29989858253300816,0.33705048947943905,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
28,비철금속괴 및 1차제품,1.1348328169810054,0.6566157229322735,0.2331859414931793,0.20952362252174336,,,원/원,원/원,명/10억원,전북,2020,중분류(83부문)
