sector_code,sector_name,multiplier_production_in_region,multiplier_production_out_region,multiplier_value_added_in_region,multiplier_value_added_out_region,multiplier_employment_in_region,multiplier_employment_out_region,unit_production,unit_value_added,unit_employment,region,table_year,classification
01,작물,1.102976591407232,0.39586345219680497,0.7490596782227237,0.15686939668946043,25.876409281281937,1.8671957592632218,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
02,축산물,1.4390554729891645,1.1156804877018676,0.444075368163171,0.40485566585945104,7.315151508764184,6.7879968167653315,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
03,임산물,1.1988582199353108,0.3514086195029842,0.8002520365248987,0.1387981613155317,3.880817445179284,1.524625299715816,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
04,수산물,1.2243130459194433,0.8558499934192239,0.4520440162652632,0.3172461038354713,10.407905184505356,3.4843996560948405,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
05,농림어업 서비스,1.3109463802825867,0.9271265897105723,0.46280756181367727,0.38236990560110523,10.403660401115095,4.488769999964491,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
06,"석탄, 원유 및 천연가스",1.0,0.0,0.0,0.0,0.0,0.0,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
07,금속 및 비금속 광물,1.5384305629876684,1.2839496813966766,0.28677616717406773,0.501757736478283,9.545694717589177,5.304912535668892,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
08,식료품,1.5012527321713762,1.1730354540889547,0.3642454304476642,0.42751216344486,6.588838493607437,7.0541370815283315,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
09,음료품,1.251274475631387,0.91218783507407,0.493520304212884,0.3384953918040113,4.259485087942813,4.4897404160520695,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
10,담배,1.0,0.0,0.0,0.0,0.0,0.0,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
11,섬유 및 의복,1.2297207323078898,0.7927431569509102,0.354139538530254,0.28778771249997254,4.713149348245294,3.402732231356736,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
12,가죽제품 ,1.2045211479565594,0.8117350094991658,0.2654916156908009,0.2940434142074703,5.688024989664835,3.7164234744875886,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
13,목재 및 목제품 ,1.2732090391653823,0.9128618319214945,0.3927816875354089,0.34948443341984103,5.372585726288612,3.9126857946070928,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
14,펄프 및 종이제품,1.2421771552471477,1.1543044047785382,0.3752980223876946,0.42395531093687844,4.712392674106713,4.621802331129929,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
15,인쇄 및 기록매체 복제,1.2892310270010359,0.931317889369881,0.4929502264014798,0.35512884502723097,9.562772498090506,3.971229350984208,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
16,석탄 및 석유제품,1.0805350250009342,0.3633000292633628,0.27785722958954884,0.12442295313455759,2.7018439954784226,1.0792894778586528,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
17,기초화학물질,1.1445957641533209,0.4723274344064332,0.5641513032227932,0.16080283871762924,4.172962624806566,1.3503046577764017,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
18,합성수지 및 합성고무,1.0963894571020478,0.6268899618644281,0.3930044889650502,0.19851556891343186,2.0620606738857044,1.6950824870143522,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
19,화학섬유,1.0,0.0,0.0,0.0,0.0,0.0,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
20,의약품,1.196666092564366,0.5112086042534181,0.575532910638974,0.2094875704135174,2.7910549858487173,2.5085317623352816,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
21,비료 및 농약,1.2131799702173809,0.6139539970295451,0.45491131188413786,0.24083614004852977,4.139339755251212,2.4203478560432705,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
22,기타 화학제품,1.2104585241469448,0.8279534513528504,0.444777133124013,0.30773334052587653,4.255841619880902,3.268881636173302,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
23,플라스틱제품,1.3040244595915598,0.7397370737884803,0.4872817525780777,0.2694515164113256,4.4428733907647455,2.71869600601865,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
24,고무제품,1.0,0.0,0.0,0.0,0.0,0.0,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
25,유리 및 유리제품,1.2458752829131778,0.6414929046308451,0.5670590819743216,0.25667627057097697,4.9845857597550145,2.7079416917456864,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
26,기타 비금속광물제품,1.3992967896495658,1.072820883590325,0.40585000805298266,0.40869657362506706,6.990371853162299,4.332456194951244,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
27,철강1차제품,1.2541123550339655,1.0419243123237036,0.32016837599013004,0.3607041356600046,2.5796602327441986,3.6410340239329644,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
28,비철금속괴 및 1차제품,1.177730764240474,0.5259943812232419,0.4463689042623982,0.17648110273075773,1.9661309953336086,1.856714358014786,원/원,원/원,명/10억원,제주,2020,중분류(83부문)
