sector_code,sector_name,multiplier_production_in_region,multiplier_production_out_region,multiplier_value_added_in_region,multiplier_value_added_out_region,multiplier_employment_in_region,multiplier_employment_out_region,unit_production,unit_value_added,unit_employment,region,table_year,classification
01,작물,1.1297910022417552,0.3527156423046758,0.7630237173664451,0.14425608104806376,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
02,축산물,1.5608409328864525,0.9759391177203265,0.4590035314640536,0.3751100859056713,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
03,임산물,1.1616186001545343,0.31281858401303464,0.8111915035005323,0.1319227688322424,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
04,수산물,1.280691087776269,0.5938812545779111,0.5478748158518927,0.23516487220104698,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
05,농림어업 서비스,1.2297849554679956,0.7135073117643185,0.5275037214088442,0.3026356590176148,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
06,"석탄, 원유 및 천연가스",1.0,0.0,0.0,0.0,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
07,금속 및 비금속 광물,1.3414790289923524,0.7401637190587087,0.5668863422360779,0.3007959388425182,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
08,식료품,1.526005701712433,0.8911633667182968,0.40361121665005323,0.35944534250852217,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
09,음료품,1.4504608150960432,1.0860103982537868,0.3336529525248117,0.429434099211695,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
10,담배,1.0,0.0,0.0,0.0,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
11,섬유 및 의복,1.2221250679725502,0.8898971029996587,0.3587284830728547,0.3321940241621723,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
12,가죽제품 ,1.1987396276085316,0.8834496103804304,0.25027631325322486,0.32612761477332664,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
13,목재 및 목제품 ,1.2618294414135867,0.8280390512664733,0.37752147806690295,0.32484913205152854,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
14,펄프 및 종이제품,1.246140938626311,0.740053398202934,0.3917328277337218,0.2897269437072833,,,원/원,원/원,명/10억원,충남,2020,중분류(83부문)
