sector_code,sector_name,multiplier_production_in_region,multiplier_production_out_region,multiplier_value_added_in_region,multiplier_value_added_out_region,multiplier_employment_in_region,multiplier_employment_out_region,unit_production,unit_value_added,unit_employment,region,table_year,classification
01,작물,1.1210290316074862,0.3328511780585688,0.7819279259023969,0.13495293994872137,40.86259252504896,1.7187913543092108,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
02,축산물,1.4755243906680129,1.0997218498819523,0.4246920614677425,0.4110915711162134,6.9795141194648735,6.728791036080727,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
03,임산물,1.1779491143009442,0.3546503638704648,0.7904260608222771,0.14860469622945383,4.681470781676644,1.6313254449599297,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
04,수산물,1.2849819584175308,0.9945898533456803,0.33537614437451907,0.3781405777759454,6.7333036094582654,4.224875041722169,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
05,농림어업 서비스,1.2237607492733102,0.8500384449618907,0.5000391851909675,0.3606397670698016,8.962186400227832,4.18851174078384,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
06,"석탄, 원유 및 천연가스",1.0,0.0,0.0,0.0,0.0,0.0,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
07,금속 및 비금속 광물,1.2679804417415939,0.7491863050362932,0.5816638578294508,0.29840082467218987,5.3746505832014515,3.507121657291221,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
08,식료품,1.4171607524423853,1.0051680477052418,0.4008340555121894,0.3935439146430292,6.152172141668328,6.872460173922597,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
09,음료품,1.2545495787300254,0.7349435870520407,0.5556671840838918,0.29246294098049175,2.9051156600684456,3.7144603494107757,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
10,담배,1.0,0.0,0.0,0.0,0.0,0.0,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
11,섬유 및 의복,1.1679856562432072,0.8691631664788257,0.3751873989063014,0.3152979053222479,3.3786421698865063,3.5260847247331326,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
12,가죽제품 ,1.2791192182603086,0.6280955087081004,0.3285115858370992,0.2627796452600945,3.7891265315027907,3.4475165979093028,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
13,목재 및 목제품 ,1.2674280893224454,0.8486640263739036,0.3864445206240428,0.33521520304525865,4.070240455013322,3.9042833000198964,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
14,펄프 및 종이제품,1.2460069904342845,0.9047718696601146,0.40719304468287876,0.34758200762223346,3.3447345413841005,3.938770804702765,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
15,인쇄 및 기록매체 복제,1.2658528846844666,0.9229864977943276,0.4761239254897048,0.36035890280939503,5.8636786367717875,4.337693250579955,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
16,석탄 및 석유제품,1.229802242652931,0.867506991124849,0.21495521458509798,0.3311762051885602,2.49296452206283,3.8995293327106495,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
17,기초화학물질,1.1196402414530018,0.6097438831922812,0.4148955457946486,0.2203422092433447,1.9574115289177374,2.025666065654069,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
18,합성수지 및 합성고무,1.048893459166285,0.7042187923169578,0.3563799422812918,0.22673719783869684,1.53384140987709,1.9321946154616756,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
19,화학섬유,1.0,0.0,0.0,0.0,0.0,0.0,원/원,원/원,명/10억원,충북,2020,중분류(83부문)
